SchoolCode;SchoolNameWithMunicipality;SchoolOrganisation;SchoolName;SchoolOrganisationNumberOfSchools;SchoolOrganisationNumberOfLowerStageSchools;SchoolOrganisationNumberOfMiddleStageSchools;SchoolOrganisationNumberOfUpperStageSchools;SchoolOrganisationNumberOfLowerAndMiddleStageSchools;SchoolOrganisationNumberOfMiddleAndUpperStageSchools;SchoolOrganisationNumberOfAllStagesSchools;SchoolStages;TotalNumberOfStudents;GradeFNumberOfStudents;Grade1NumberOfStudents;Grade2NumberOfStudents;Grade3NumberOfStudents;Grade4NumberOfStudents;Grade5NumberOfStudents;Grade6NumberOfStudents;Grade7NumberOfStudents;Grade8NumberOfStudents;Grade9NumberOfStudents;LowerStageNumberOfStudents;MiddleStageNumberOfStudents;UpperStageNumberOfStudents;ForeignBackgroundPercentage;ParentalEducationPercentage;StudentTeacherRatio;FullTimeTeachers;TeacherQualificationPercentage;ResultGrade6AverageScore;ResultGrade9AverageScore;ResultGrade3NationalExams;ForeignBackgroundComparison;ParentalEducationComparison;StudentTeacherRatioComparison;TeacherQualificationComparison;ResultCategoryGrade6AverageScore;ResultCategoryGrade9AverageScore;ResultCategoryGrade3NationalExams;MunicipalityNumberOfSchoolsManaged;MunicipalityNumberOfSchools;FirstSchoolyearInCurrentRecords;1819TotalNumberOfStudents;1819LowerStageNumberOfStudents;1819MiddleStageNumberOfStudents;1819UpperStageNumberOfStudents;1819ResultGrade6AverageScore;1819ResultGrade9AverageScore;1819ResultCategoryGrade6AverageScore;1819ResultCategoryGrade9AverageScore;1819ResultGrade3NationalExams;1819ResultCategoryGrade3NationalExams;1920TotalNumberOfStudents;1920LowerStageNumberOfStudents;1920MiddleStageNumberOfStudents;1920UpperStageNumberOfStudents;1920ResultGrade6AverageScore;1920ResultGrade9AverageScore;1920ResultCategoryGrade6AverageScore;1920ResultCategoryGrade9AverageScore;1920ResultGrade3NationalExams;1920ResultCategoryGrade3NationalExams;2021TotalNumberOfStudents;2021LowerStageNumberOfStudents;2021MiddleStageNumberOfStudents;2021UpperStageNumberOfStudents;2021ResultGrade6AverageScore;2021ResultGrade9AverageScore;2021ResultCategoryGrade6AverageScore;2021ResultCategoryGrade9AverageScore;2021ResultGrade3NationalExams;2021ResultCategoryGrade3NationalExams;2122TotalNumberOfStudents;2122LowerStageNumberOfStudents;2122MiddleStageNumberOfStudents;2122UpperStageNumberOfStudents;2122ResultGrade6AverageScore;2122ResultGrade9AverageScore;2122ResultCategoryGrade6AverageScore;2122ResultCategoryGrade9AverageScore;2122ResultGrade3NationalExams;2122ResultCategoryGrade3NationalExams;2223TotalNumberOfStudents;2223LowerStageNumberOfStudents;2223MiddleStageNumberOfStudents;2223UpperStageNumberOfStudents;2223ResultGrade6AverageScore;2223ResultGrade9AverageScore;2223ResultCategoryGrade6AverageScore;2223ResultCategoryGrade9AverageScore;2223ResultGrade3NationalExams;2223ResultCategoryGrade3NationalExams;SurveyAnswerCategoryParentsRegardingParentsReceivingInformationAboutTheirChildsDevelopment_2023/2024;SurveyAnswerCategoryParentsRegardingParentsSatisfactionWithTheirChildsSchool_2023/2024;SurveyAnswerCategoryParentsRegardingParentsPerceptionOfStudentInteractions_2023/2024;SurveyAnswerCategoryTeachersRegardingNecessaryDevelopmentMeasures_2023/2024;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentSupport_2023/2024;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentInteractions_2023/2024;SurveyAnswerCategoryGrade8RegardingClassroomDisruptions_2023/2024;SurveyAnswerCategoryGrade8RegardingAdultSupervisionDuringBreaks_2023/2024;SurveyAnswerCategoryGrade8RegardingStudentSatisfaction_2023/2024;SurveyAnswerCategoryGrade8RegardingStudentSafety_2023/2024;SurveyAnswerCategoryGrade5RegardingClassroomDisruptions_2023/2024;SurveyAnswerCategoryGrade5RegardingAdultSupervisionDuringBreaks_2023/2024;SurveyAnswerCategoryGrade5RegardingStudentSatisfaction_2023/2024;SurveyAnswerCategoryGrade5RegardingStudentSafety_2023/2024;SurveyAnswerCategoryParentsRegardingParentsReceivingInformationAboutTheirChildsDevelopment_2022/2023;SurveyAnswerCategoryParentsRegardingParentsSatisfactionWithTheirChildsSchool_2022/2023;SurveyAnswerCategoryParentsRegardingParentsPerceptionOfStudentInteractions_2022/2023;SurveyAnswerCategoryTeachersRegardingNecessaryDevelopmentMeasures_2022/2023;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentSupport_2022/2023;SurveyAnswerCategoryTeachersRegardingTeacherPerceptionOfStudentInteractions_2022/2023;SurveyAnswerCategoryGrade8RegardingClassroomDisruptions_2022/2023;SurveyAnswerCategoryGrade8RegardingAdultSupervisionDuringBreaks_2022/2023;SurveyAnswerCategoryGrade8RegardingStudentSatisfaction_2022/2023;SurveyAnswerCategoryGrade8RegardingStudentSafety_2022/2023;SurveyAnswerCategoryGrade5RegardingClassroomDisruptions_2022/2023;SurveyAnswerCategoryGrade5RegardingAdultSupervisionDuringBreaks_2022/2023;SurveyAnswerCategoryGrade5RegardingStudentSatisfaction_2022/2023;SurveyAnswerCategoryGrade5RegardingStudentSafety_2022/2023
torparskolan;Torparskolan i Växjö;Växjö kommun;Torparskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;343;50.0;51.0;50.0;50.0;51.0;47.0;44.0;;;;201;142;0;21.8;85.7;12;21;96.2;14.7;;89.9;Medel;Över medel;Medel;Över medel;Över medel;;Medel;38;44;2016/2017;270.0;195.0;75.0;0.0;14.1;;Över medel;;86.0;Under medel;300.0;197.0;103.0;0.0;14.5;;Över medel;;;;322.0;199.0;123.0;0.0;14.5;;Över medel;;;;342.0;198.0;144.0;0.0;13.5;;Medel;;94.0;Medel;329;198;131;0;13.9;;Över medel;;94.3;Över medel;Medel;Över medel;Över medel;Medel;Över medel;Över medel;;;;;Medel;Medel;;Under medel;;;;;;;;;;;;;;
tolgskola;Tolg skola i Växjö;Växjö kommun;Tolg skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;41;9.0;6.0;7.0;6.0;7.0;4.0;2.0;;;;28;13;0;;62.5;8;3;27.3;;;;;Medel;Under medel;Under medel;;;;38;44;2013/2014;43.0;32.0;11.0;0.0;;;;;;;38.0;26.0;12.0;0.0;;;;;;;38.0;25.0;13.0;0.0;;;;;;;39.0;25.0;14.0;0.0;;;;;;;41;26;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tavelsasskola;Tävelsås skola i Växjö;Växjö kommun;Tävelsås skola;38;5;0;4;24;1;4;Lågstadieskola;71;12.0;26.0;15.0;18.0;;;;;;;71;0;0;;81.4;11;4;50.0;;;96.5;;Över medel;Under medel;Under medel;;;Över medel;38;44;2013/2014;68.0;68.0;0.0;0.0;;;;;99.5;Över medel;76.0;76.0;0.0;0.0;;;;;;;81.0;81.0;0.0;0.0;;;;;;;70.0;70.0;0.0;0.0;;;;;93.7;Medel;80;80;0;0;;;;;89.5;Medel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ulriksbergskolan;Ulriksbergskolan i Växjö;Växjö kommun;Ulriksbergskolan;38;5;0;4;24;1;4;Låg- och mellanstadieskola;290;44.0;52.0;47.0;49.0;49.0;49.0;;;;;192;98;0;54.9;61.4;12;20;90.9;;;99.3;Över medel;Medel;Medel;Över medel;;;Över medel;38;44;2013/2014;287.0;199.0;88.0;0.0;;;;;95.4;Över medel;295.0;197.0;98.0;0.0;;;;;;;292.0;194.0;98.0;0.0;;;;;;;293.0;195.0;98.0;0.0;;;;;94.0;Medel;290;196;94;0;;;;;95.5;Över medel;Under medel;Medel;Medel;Över medel;Över medel;Över medel;;;;;Medel;Över medel;;Medel;;;;;;;;;;;;;;
urasaskola;Uråsa skola i Växjö;Växjö kommun;Uråsa skola;38;5;0;4;24;1;4;Lågstadieskola;33;7.0;9.0;8.0;9.0;;;;;;;33;0;0;;76.9;9;2;60.0;;;;;Över medel;Under medel;Under medel;;;;38;44;2013/2014;37.0;37.0;0.0;0.0;;;;;;;36.0;36.0;0.0;0.0;;;;;;;37.0;37.0;0.0;0.0;;;;;;;35.0;35.0;0.0;0.0;;;;;100.0;Över medel;33;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vederslovsskola;Vederslövs skola i Växjö;Växjö kommun;Vederslövs skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;141;13.0;16.0;11.0;9.0;35.0;31.0;26.0;;;;49;92;0;;71.9;13;9;58.3;14.0;;;;Över medel;Medel;Under medel;Över medel;;;38;44;2013/2014;126.0;40.0;86.0;0.0;14.0;;Över medel;;97.2;Över medel;144.0;45.0;99.0;0.0;13.9;;Medel;;;;147.0;44.0;103.0;0.0;13.9;;Medel;;;;143.0;45.0;98.0;0.0;14.2;;Över medel;;100.0;Över medel;152;49;103;0;13.5;;Medel;;98.1;Över medel;;;;;;;;;;;Över medel;Över medel;;Över medel;;;;;;;;;;;;;;
vaxjointernationellagrundskola;Växjö Internationella Grundskola i Växjö;Lacko internationella grundskola ab;Växjö Internationella Grundskola;1;0;0;0;0;0;1;Låg-, mellan- och högstadieskola;230;18.0;17.0;21.0;21.0;25.0;26.0;27.0;26.0;22.0;27.0;77;78;75;57.5;75.9;11;8;;14.4;13.9;97.7;Över medel;Över medel;Medel;;Över medel;Medel;Över medel;38;44;2013/2014;237.0;80.0;77.0;80.0;14.7;15.0;Över medel;Över medel;95.2;Medel;227.0;79.0;73.0;75.0;14.0;15.4;Över medel;Över medel;;;235.0;81.0;77.0;77.0;13.4;14.4;Medel;Medel;;;236.0;81.0;76.0;79.0;13.8;15.6;Medel;Över medel;90.2;Medel;232;76;77;79;14.4;14.3;Över medel;Medel;91.3;Medel;;;;Över medel;Över medel;Över medel;Medel;Över medel;Över medel;Under medel;Under medel;Över medel;;Över medel;;;;;;;;;;;;;;
vaxjoislamiskaskola;Växjö Islamiska skola i Växjö;Stiftelsen växjö islamiska skola;Växjö Islamiska skola;1;0;0;0;1;0;0;Låg- och mellanstadieskola;228;38.0;34.0;35.0;34.0;36.0;28.0;23.0;;;;141;87;0;93.2;40.0;10;16;50.0;12.2;;77.9;Över medel;Under medel;Under medel;Under medel;Under medel;;Under medel;38;44;2013/2014;194.0;144.0;50.0;0.0;12.5;;Under medel;;85.3;Under medel;223.0;155.0;68.0;0.0;12.2;;Under medel;;;;236.0;155.0;81.0;0.0;13.7;;Medel;;;;254.0;168.0;86.0;0.0;13.1;;Medel;;95.6;Över medel;239;154;85;0;11.8;;Under medel;;87.7;Medel;Över medel;Över medel;Över medel;Över medel;Över medel;Över medel;;;;;Medel;Över medel;;Över medel;;;;;;;;;;;;;;
vaxjomontessoriskola;Växjö Montessoriskola i Växjö;Stella montessori ab;Växjö Montessoriskola;1;0;0;0;1;0;0;Låg- och mellanstadieskola;132;20.0;19.0;20.0;18.0;20.0;19.0;16.0;;;;77;55;0;22.3;95.5;12;8;71.4;15.0;;99.0;Medel;Över medel;Medel;Under medel;Över medel;;Över medel;38;44;2013/2014;109.0;70.0;39.0;0.0;;;;;95.7;Över medel;113.0;70.0;43.0;0.0;14.4;;Över medel;;;;122.0;75.0;47.0;0.0;14.4;;Över medel;;;;124.0;76.0;48.0;0.0;14.1;;Över medel;;85.4;Under medel;129;79;50;0;14.5;;Över medel;;99.1;Över medel;Över medel;Över medel;Över medel;Över medel;Över medel;Över medel;;;;;Över medel;Över medel;;Över medel;;;;;;;;;;;;;;
abyskola;Åby skola i Växjö;Växjö kommun;Åby skola;38;5;0;4;24;1;4;Låg- och mellanstadieskola;74;8.0;6.0;11.0;11.0;13.0;13.0;12.0;;;;36;38;0;;80.3;11;5;87.5;12.6;;93.6;;Över medel;Medel;Över medel;Under medel;;Medel;38;44;2013/2014;80.0;48.0;32.0;0.0;15.1;;Över medel;;99.0;Över medel;85.0;50.0;35.0;0.0;13.4;;Medel;;;;87.0;50.0;37.0;0.0;13.5;;Medel;;;;84.0;48.0;36.0;0.0;13.0;;Medel;;93.8;Medel;77;41;36;0;;;;;98.1;Över medel;;;;;;;;;;;Över medel;Medel;;Under medel;;;;;;;;;;;;;;
